CD_UF,0201 Collection of material,0209 Diagnosis by endoscopy,0211 Diagnostic methods in specialties,0301 Consultations / Appointments / Follow-ups,0303 Clinical treatments (other specialties),0304 Oncology treatment,0305 Nephrology treatment,"0308 Treatment of injuries, poisoning, and others resulting from external causes",0310 Childbirth and birth,"0401 Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",0402 Endocrine gland surgery,0403 Central and peripheral nervous system surgery,"0404 Surgery of the upper airways, face, head, and neck",0405 Surgery of the visual system,0406 Surgery of the circulatory system,"0407 Surgery of the digestive system, accessory organs, and abdominal wall",0408 Musculoskeletal system surgery,0409 Genitourinary system surgery,0410 Breast surgery,0411 Obstetric surgery,0412 Thoracic surgery,0413 Reconstructive surgery,0414 Oral and maxillofacial surgery,0415 Other surgeries,0416 Oncology surgery,"0501 Collection and examinations for organ, tissue, and cell donation and transplantation",0503 Actions related to organ and tissue donation for transplantation,0504 Processing of tissues for transplantation,"0505 Organ, tissue, and cell transplantation",0506 Pre- and post-transplant follow-up and complications
24 Rio Grande do Norte,"47091,11","313745,46","41820,00","2138679,09","95293086,61","10660181,39","3288119,86","3191215,78","7299925,26","987864,84","97110,97","4031198,72","3720474,40","6615785,56","34190349,98","17319581,05","6281323,57","7144564,80","121618,76","18037217,74","3075621,14","604902,52","48034,77","97906964,29","14398833,59","113216,81","275612,47",0,"5478936,70","1104149,47"
25 Paraíba,"39693,09","4276,19","25540,00","742630,96","116399610,65","7459578,60","4166587,25","2373759,68","9798946,77","460805,09","309745,87","4827440,71","3228318,58","1859951,53","31609550,96","26293643,01","17082541,78","11583842,39","446253,20","22668590,69","3874929,99","2206098,93","133874,54","52289079,67","9842288,42",0,"423452,26","79932,00","3700363,91","67745,54"
26 Pernambuco,"303693,15","852471,66","52367,96","3191640,09","339827176,46","36523337,99","17876469,18","8929103,30","28922801,77","2677597,38","241083,63","10501574,89","11433234,09","8279980,84","55751133,91","45053275,18","29116573,41","21216226,90","1115687,38","35706915,19","9664827,62","11920517,90","229016,63","231222492,43","26013440,13","200473,10","2184556,36","530984,00","42669666,04","9897915,73"
27 Alagoas,"26017,96","83728,14",0,"200554,42","96281491,57","6037648,85","5272781,57","3053433,65","10806729,87","702837,89","143024,69","3586902,91","2170007,09","2988748,56","16700476,18","13255758,42","7596934,90","6179532,31","259859,84","16731069,90","1582406,59","928194,93","114168,49","30600134,92","4009862,14",0,"148582,48",0,"756789,02","73510,56"
28 Sergipe,"29010,94","42916,19","170,00","305308,43","64547638,14","2114472,91","4133391,63","1407698,94","8377971,80","312801,75","143249,61","4087537,95","2195325,37","1808966,43","26735208,27","13166203,38","11235782,51","9207165,16","139129,13","7861828,18","1298894,13","456595,73","55444,52","13523738,01","5596562,84",0,"274264,10",0,"52125,48","14547,27"
29 Bahia,"219751,92","375567,08","5148,00","2892705,44","390349759,89","20273902,75","36575867,61","11367996,25","40515388,29","3927619,56","996621,91","14264472,52","10038230,10","18677917,58","67306244,83","83002360,13","67275811,20","54939166,38","1793820,72","44372963,69","10781668,77","5466004,25","161115,46","232170153,04","37459151,51",0,"1827596,55",0,"13618941,57","1723853,75"
31 Minas Gerais,"1200029,15","3826080,81","187299,80","6419344,03","936885757,81","60492701,17","53916495,21","20802336,08","49620587,62","4928922,69","1161046,73","42216966,84","26719704,91","20541488,83","294012951,91","137969222,81","132032752,65","53477875,20","2414826,89","70943158,59","28956513,67","9365381,12","3170178,77","385954622,12","78059884,96","507482,02","4929855,95","8488,18","77458107,26","17189460,37"
32 Espírito Santo,"288228,16","188477,00",0,"1727447,48","173460719,29","12371863,88","10443287,77","4324729,81","10141002,53","1216279,44","299065,46","9980143,82","3857486,44","3781837,09","64407106,17","29658381,31","32232573,65","8984148,67","393006,78","16920256,53","6423520,87","2176902,65","122009,85","62421363,74","14546260,97",0,"904592,55",0,"10799703,55","1467893,94"
33 Rio de Janeiro,"446878,48","287000,28","88267,76","3446096,23","547505422,41","24377379,02","43907108,49","14670316,14","36800357,27","2904190,08","955461,21","35669639,10","13056175,22","23456845,93","146046337,55","84459888,10","82529153,08","34998759,36","1213225,15","51017145,92","11940607,85","7143001,22","836357,03","197578067,21","37201375,00","295944,74","4216768,49","330544,00","38590492,23","3914076,55"
35 São Paulo,"2214694,47","1408976,06","1491074,35","17747726,99","1659552998,94","101455334,29","85731422,79","41438967,54","92865909,59","13204215,82","2218466,84","94371627,07","47866944,71","60860761,43","493173966,05","250362591,69","242505121,34","101553026,02","7813615,25","138673632,73","57585395,73","18894784,81","1392531,81","570359493,45","135650376,63","2356228,25","15614185,96","49460,00","195673983,23","43903021,43"
41 Paraná,"1331249,34","12769728,33","2079579,34","5545345,76","573661919,10","45354062,77","22835041,11","15444763,03","24227282,13","2811613,58","485581,20","31337401,49","26602646,60","19980136,04","256603371,04","95221390,20","103793814,62","30229769,12","1085272,92","47484938,34","35092365,66","11789514,38","444408,53","268857830,08","57823518,43","389744,42","7719009,78","755061,60","78140552,51","9975919,50"
42 Santa Catarina,"373651,94","3437233,55","117143,30","2950277,85","291186579,17","23468599,45","11927909,86","9000560,26","22827884,05","3026122,90","231123,52","16415605,39","10278270,78","6943005,93","126752227,17","57736090,40","56822399,24","25350497,82","748648,47","28273483,92","20700583,42","2535730,40","932253,86","246121194,77","31701570,89",0,"4612809,19",0,"36355147,54","3632069,73"
43 Rio Grande do Sul,"516914,23","1657543,23","498464,58","1474921,22","486496311,80","34788365,21","19329171,02","13185940,98","21915675,32","3289626,48","468293,31","24548727,43","15248665,41","13498613,90","175022761,11","76204842,75","76261730,25","23938873,20","1548294,42","38885056,92","17512428,54","3698024,08","748701,49","190792406,97","50752752,30","150130,52","4337336,75","6960,00","52204181,65","12311121,67"
50 Mato Grosso do Sul,"113457,47","252472,68",0,"729110,51","107768701,99","5467449,17","5058033,37","2407443,51","6455695,16","446893,50","70755,94","4672336,16","2085904,74","6382646,80","32598089,72","20197882,04","17037714,20","6302865,82","359398,54","14102627,44","5766860,56","2512098,89","51997,03","69981507,47","6851235,95",0,"896403,09","252963,20","1738660,97","290010,61"
51 Mato Grosso,"46103,24",0,0,"431488,58","105280542,33","4703357,24","5846293,03","3790329,64","9136024,40","612339,61","127576,64","4162647,37","5206020,39","337386,30","20991566,17","18599259,25","20781666,80","9061455,55","174047,14","16619254,50","3735822,58","576786,94","97918,45","30066630,33","6681006,92",0,"8299,52",0,0,"294,00"
52 Goiás,"63784,33","14790,21","220243,67","2759844,00","216000207,31","6886198,76","10716922,12","6303639,48","11616895,35","845169,56","129508,07","7961162,38","6789717,35","9572183,52","60403106,76","43390599,41","51565502,71","17475467,93","610618,85","22118606,53","6294618,79","6589533,16","119642,06","69113865,83","16943493,01","10434,98","494002,61",0,"7883546,80","1012231,55"
53 Distrito Federal,"329166,78","33180,15",0,"1477379,95","133146627,52","8932495,76","9801932,15","6574101,12","10814083,64","479137,71","190866,67","8061006,98","3364880,29","3202223,28","38974535,17","15104021,18","19022852,87","5570507,42","416575,44","14151747,20","4399707,28","443398,62","45747,81","32491624,11","7785458,79","114384,92","1441218,53",0,"16417934,31","3048967,56"
Total,"8082273,02","25895011,17","5169559,03","64750433,53","7409910754,92","459610429,56","407727303,80","207060633,61","515130174,16","49875705,26","9631533,23","369300163,91","228143661,30","225891840,04","2135301556,82","1211180433,09","1094554643,71","513419984,59","22911523,24","795478941,09","258510831,36","100717292,95","10052203,92","3129595211,10","610205060,13","4600853,55","55825941,97","2471376,62","624210701,56","114798895,08"
